Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
05/01/2021,451,,FNDA,Dividend Reinvested,0,3.11
05/01/2021,452,,BKSE,Dividend Reinvested,0,0.46
05/01/2021,453,,BKLC,Dividend Reinvested,0,0.36
05/01/2021,454,,SWSSX,Buy,2.926,-100
05/01/2021,455,,SWISX,Buy,4.494,-100
05/01/2021,456,,BKIE,Dividend Reinvested,0,0.3
05/01/2021,457,,FNDA,Dividend Reinvested,0,1.58
05/01/2021,458,,ANGL,Dividend Reinvested,0,208.55
05/01/2021,459,,ANGL,Dividend Reinvested,0,62.08
05/01/2021,460,,ANGL,Dividend Reinvested,0,208.55
05/01/2021,461,,ANGL,Dividend Reinvested,0,119.1
05/01/2021,462,,ANGL,Dividend Reinvested,0,14.82
05/01/2021,463,,ANGL,Dividend Reinvested,0,62.08
05/01/2021,466,,UN:008F8486/8386,Management Fee,0,-100
05/01/2021,467,,UN:008F8486/8386,Remark,0,100
05/01/2021,468,,VMFXX,Management Fee,0,-100
05/01/2021,469,,VMFXX,Management Fee,0,-100
05/01/2021,470,,VMFXX,Remark,0,100
05/01/2021,471,,SCHM,Dividend Reinvested,0,78.18
05/01/2021,472,,SCHM,Remark,0,-78.18
05/01/2021,473,,FNDA,Dividend Reinvested,0,116
05/01/2021,474,,FNDA,Remark,0,-116
05/01/2021,475,,BFAFX,Dividend Reinvested,1.74,-23.99
05/01/2021,476,,BFAFX,Long Term Gain Reinvested,14.389,-198.42
05/01/2021,477,,BFAFX,Short Term Gain Reinvested,35.748,-492.97
05/01/2021,478,,VMFXX,Management Fee,0,-3749.92
05/01/2021,482,,FCSTX,Dividend Reinvested,0,64.93
05/01/2021,483,,FCSTX,Dividend Reinvested,0,64.93
05/01/2021,484,,FCSTX,Dividend Reinvested,0,64.93
05/01/2021,485,,FCSTX,Dividend Reinvested,0,2139.59
05/01/2021,486,,FCSTX,Dividend Reinvested,0,2139.59
05/01/2021,487,,FCSTX,Dividend Reinvested,0,2139.59
05/01/2021,488,,UN:008F8486/10005,Management Fee,0,-6000
05/01/2021,489,,FI:TFV8/1,Buy,263.861,-2638.61
05/01/2021,490,,FI:3907/335,Remark,147.821,-2638.61
05/01/2021,491,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,492,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,493,,VSIIX,Remark,114.129,-3896.37
